title,year,rating,movie_poster_str,movie_summary,user_rating_count,user_review_count,critic_review_count,movie_mpaa_rating,movie_runtime,movie_genres,movie_release_date,box_office_gross_domestic,box_office_gross_intl,url
10 Cloverfield Lane,2016,7.2,"https://m.media-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_UX182_CR0,0,182,268_AL_.jpg","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",268153,698,514,PG-13,103,"Drama, Horror, Mystery",11 March 2016 (USA),72082998,110216998,https://www.imdb.com/title/tt1179933/
1408,1408,6.8,"https://m.media-amazon.com/images/M/MV5BMTk1MDg0NTU0OV5BMl5BanBnXkFtZTcwMTM1NDk0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",245136,622,306,PG-13,104,"Fantasy, Horror, Mystery",22 June 2007 (USA),71985628,132033383,https://www.imdb.com/title/tt0450385/
1922,1922,6.3,"https://m.media-amazon.com/images/M/MV5BYTFmYmJkM2YtYzFjNS00NGI2LThiOWMtNGVhZDZiOGI0NDBhXkEyXkFqcGdeQXVyNjU1OTMzNDU@._V1_UX182_CR0,0,182,268_AL_.jpg","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",41343,169,78,TV-MA,102,"Crime, Drama, Horror",20 October 2017 (USA),--,--,https://www.imdb.com/title/tt6214928/
28 Days Later...,2002,7.6,"https://m.media-amazon.com/images/M/MV5BYTFkM2ViMmQtZmI5NS00MjQ2LWEyN2EtMTI1ZmNlZDU3MTZjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",352018,1467,245,R,113,"Drama, Horror, Sci-Fi",27 June 2003 (USA),45064915,85720385,https://www.imdb.com/title/tt0289043/
A Girl Walks Home Alone at Night,2014,7.0,"https://m.media-amazon.com/images/M/MV5BMjMzNjMyMjU2M15BMl5BanBnXkFtZTgwMzA3NjQ0MzE@._V1_UY268_CR3,0,182,268_AL_.jpg","In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",27564,108,289,Not Rated,101,"Drama, Horror",20 April 2015 (USA),--,--,https://www.imdb.com/title/tt2326554/
A Nightmare on Elm Street,1984,7.5,"https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,190981,741,205,R,91,Horror,16 November 1984 (USA),25504513,--,https://www.imdb.com/title/tt0087800/
A Nightmare on Elm Street,1987,6.6,"https://m.media-amazon.com/images/M/MV5BMjFkYTEwNjAtYWU1YS00NTMyLTkwYmUtZjEyMjZjMDg5Njc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",A psychiatrist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.,65185,336,116,R,96,"Fantasy, Horror",27 February 1987 (USA),44793222,44793222,https://www.imdb.com/title/tt0093629/
A Quiet Place,2018,7.5,"https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UX182_CR0,0,182,268_AL_.jpg","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",331432,2612,540,PG-13,90,"Drama, Horror, Sci-Fi",6 April 2018 (USA),188024361,340939361,https://www.imdb.com/title/tt6644200/
A Tale of Two Sisters,2003,7.2,"https://m.media-amazon.com/images/M/MV5BMDMyNDE0ZmQtZTVhZC00M2Q1LTljNmUtYjFiNzljNGNjOTA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR2,0,182,268_AL_.jpg",A family is haunted by the tragedies of deaths within the family.,51895,251,291,R,--,"Drama, Horror, Thriller",13 June 2003 (South Korea),--,--,https://www.imdb.com/title/tt0365376/
Alien,1979,8.4,"https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",732521,1350,447,R,117,"Horror, Sci-Fi",22 June 1979 (USA),81765459,106497869,https://www.imdb.com/title/tt0078748/
