,title,year
201,10 Cloverfield Lane,2016
81,1408,2007
111,1922,2017
122,28 Days Later,2003
93,[Rec],2007
188,A Girl Walks Home Alone At Night,2014
172,A Nightmare On Elm Street,1984
48,A Nightmare On Elm Street 3: Dream Warriors,1987
230,A Quiet Place,2018
83,A Tale Of Two Sisters,2003
225,Alien,1979
218,Aliens,1986
39,American Psycho,2000
113,An American Werewolf In London,1981
292,Annabelle,2014
147,Attack The Block,2011
77,Audition (Ôdishon),1999
78,Bakjwi (Thirst),2009
51,Basket Case,1982
24,Beetlejuice,1988
50,Behind The Mask: The Rise Of Leslie Vernon,2006
112,Better Watch Out,2017
42,Black Christmas,1974
41,Black Sheep,2006
138,Bone Tomahawk,2015
53,Bram Stoker'S Dracula,1992
57,Candyman,1992
98,Carnival Of Souls,1962
194,Carrie,1976
9,Casper,1995
186,Cat People,1942
38,Christine,1983
17,Coco,2017
29,Coraline,2009
249,Corpse Bride,2005
107,Crawl,2019
94,Creature From The Black Lagoon,1954
96,Creep,2015
185,Creep 2,2017
119,Creepy (Kuripi: Itsuwari No Rinjin),2016
246,Curious George: A Halloween Boo Fest,2013
156,Dawn Of The Dead,1979
110,Dead Alive,1993
198,Dead Of Night,1945
80,Dead Ringers,1988
248,Dear Dracula,2012
170,Deep Red (Profondo Rosso),1975
137,Demon,2016
284,Disturbia,2007
56,Dog Soldiers,2002
155,Don'T Breathe,2016
210,Don'T Look Now,1973
254,Don'T Look Under The Bed,1999
286,Donnie Darko,2001
288,Double Double Toil And Trouble,1993
253,"Double, Double, Toil & Trouble",2003
158,Dr. Jekyll And Mr. Hyde,1931
162,Dracula,1931
91,Dracula: Pages From A Virgin'S Diary,2003
190,Drag Me To Hell,2009
126,Duel,1972
257,E.T. The Extra Terrestrial,1982
64,Eden Lake,2008
21,Edward Scissorhands,1990
152,Eraserhead,1977
289,Ernest Scared Stupid,1991
205,Evil Dead 2: Dead By Dawn,1987
208,Eyes Without A Face,1962
59,Frailty,2002
220,Frankenstein,1931
14,Frankenweenie,2012
211,Freaks,1932
268,Friday The 13Th,1980
129,Fright Night,1985
283,Fun Size,2012
134,Gerald'S Game,2017
232,Get Out,2017
33,Ghostbusters (1984 Original),1984
114,"Goodnight Mommy (Ich Seh, Ich Seh)",2015
16,Goosebumps,2015
177,Green Room,2016
30,Gremlins,1984
285,Halloween H20: 20 Years Later,1998
237,Halloween Iii: Season Of The Witch,1982
40,Hellraiser,1987
124,Henry: Portrait Of A Serial Killer,1986
213,Hereditary,2018
22,Hocus Pocus,1993
136,Horror Of Dracula,1958
2,Hotel Transylvania,2012
117,Hounds Of Love,2017
120,House (Hausu),1977
189,House Of Wax,1953
140,House On Haunted Hill,1959
151,Housebound,2014
165,I Walked With A Zombie,1943
173,Island Of Lost Souls,1933
200,It,2017
159,It Comes At Night,2017
47,It'S Alive,1973
34,"It'S The Great Pumpkin, Charlie Brown",1966
269,"It’S The Great Pumpkin, Charlie Brown",1966
49,Jacob'S Ladder,1990
222,Jaws,1975
275,Ju-On: The Grudge,2002
68,Kill List,2012
228,King Kong,1933
153,L'Uccello Dalle Piume Di Cristallo (The Bird With The Crystal Plumage),1970
13,Labyrinth,1986
1,Lady In White,1988
65,Land Of The Dead,2005
144,Let Me In,2010
214,Let The Right One In,2008
71,Lights Out,2016
7,Little Monsters,1989
106,Los Ojos De Julia (Julia'S Eyes),2010
192,Mandy,2018
121,Martin,1977
242,Mary And The Witch'S Flower,2018
236,May,2002
183,Midsommar,2019
143,Misery,1990
27,Monster House,2006
37,Motel Hell,1980
240,Murder Party,2007
76,Mute Witness,1995
62,Night Of The Comet,1984
239,Night Of The Demons,1988
209,Night Of The Living Dead,1968
161,Nina Forever,2016
227,"Nosferatu, A Symphony Of Horror (Nosferatu, Eine Symphonie Des Grauens)",1922
184,Nosferatu: Phantom Der Nacht (Nosferatu The Vampyre),1979
67,Oculus,2014
45,Open Water,2004
84,Ouija: Origin Of Evil,2016
203,Peeping Tom,1960
294,Pet Sematary,2019
52,Phantasm,1979
154,Phantom Of The Opera,1925
43,Planet Terror (Grindhouse Presents: Robert Rodriguez'S Planet Terror),2007
55,Poison,1991
31,Poltergeist,1982
85,Pontypool,2009
250,Pooh'S Heffalump Halloween Movie,2005
267,Practical Magic,1998
135,Prevenge,2017
226,Psycho,1960
118,Rare Exports: A Christmas Tale,2010
160,Re-Animator,1985
191,Ready Or Not,2019
219,Repulsion,1965
8,Return To Oz,1985
168,Revenge,2018
174,Ringu (Ring),1998
245,Room On The Broom,2013
212,Rosemary'S Baby,1968
277,Rosemary’S Baby,1968
58,"Salò O Le 120 Giornate Di Sodoma (Salò, Or The 120 Days Of Sodom)",1979
60,Scanners,1981
266,Scary Movie,2000
15,Scary Stories To Tell In The Dark,2019
19,Scooby-Doo On Zombie Island,1998
73,Scream,1996
86,Scream 2,1997
295,Scream 4,2011
265,Secret Obsession,2019
87,Shadow Of The Vampire,2000
163,Shaun Of The Dead,2004
103,Shivers (They Came From Within),1975
97,Sisters,1973
234,Sleepy Hollow,1999
105,Slither,2006
3,Something Wicked This Way Comes,1983
69,Southbound,2016
243,Super Monsters Save Halloween,2018
176,Suspiria,1977
280,Teeth,2007
101,The Abominable Dr. Phibes,1971
25,The Addams Family,1991
